dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Stratified_Random_Dataset,2,247,315.375,0.7831946095917558,699.689000000013,15197.97200000015,61.54041478947368,2.8327489878543037,64.3731906923077,61.53025101214636,0.9184480533493953,0.1479062491742662
Stratified_Random_Dataset,3,247,319.96900000000096,0.7719497826351904,701.9110000000073,15133.583000000184,61.27085010931175,2.8417449392712846,64.11239197975709,61.26956680162018,0.9261459073871716,0.1462456258783414
Stratified_Random_Dataset,4,247,348.3120000000017,0.7091343393279553,730.8240000000005,16772.823000000044,67.91175204453441,2.9588016194332005,70.87073618218622,67.90616599190301,0.945951419219959,0.13987918877328312
Stratified_Random_Dataset,5,247,301.6869999999981,0.8187293453148514,690.2259999999806,14045.330999999711,56.87035988259109,2.794437246963484,59.66523259109312,56.863688259108145,0.9246710497720927,0.1525258518486566
Stratified_Random_Dataset,6,247,293.8590000000004,0.8405391701462255,695.7630000000172,14102.290000000274,57.095877433198375,2.816854251012215,59.91263017408907,57.09429149797682,0.9887447306051239,0.157845088971245
Stratified_Random_Dataset,7,247,310.21900000000096,0.7962117085027005,706.579000000027,15018.21100000037,60.813034740890686,2.8606437246964656,63.673793765182204,60.802473684212025,0.9752228696295855,0.1518452018305401
Stratified_Random_Dataset,8,248,222.57800000000134,1.1142161399599175,648.0950000000048,13583.36300000019,54.77984168951613,2.6132862903226,57.39318691532257,54.77162500000077,1.0815389719100004,0.19411771753422796
Stratified_Random_Dataset,9,248,192.2029999999977,1.2903024406487045,605.9839999999786,8247.222999999965,33.267250806451614,2.4434838709676554,35.71039955241936,33.25493145161276,1.1278185562655558,0.21018888015968734
Stratified_Random_Dataset,10,247,424.8129999999983,0.5814323008005899,766.2049999999872,16461.277999999733,66.65691763562752,3.1020445344129035,69.75846365182186,66.64485020242807,1.0427183325611675,0.12024192605530595
Low-High_Dataset,AVERAGE,26,247.2438000000002,0.10093590517933985,418.4520999999957,853.0815999999948,34.145073525,17.3455304487178,51.49061655288462,36.24355064102537,1.391377121733147,0.11454874273350676
